time,co2,temperature,humidity,motion
2026-06-10 01:15:29,1852.2,22.0,53.6,1
2026-06-10 01:16:29,443.6,20.6,51.6,0
2026-06-10 01:17:29,443.3,21.8,47.8,0
2026-06-10 01:18:29,441.2,22.5,42.5,0
2026-06-10 01:19:29,414.9,20.4,50.0,0
2026-06-10 01:20:29,437.8,19.8,43.9,0
2026-06-10 01:21:29,450.9,21.0,49.7,0
2026-06-10 01:22:29,443.8,21.3,45.5,0
2026-06-10 01:23:29,433.9,20.6,50.6,1
2026-06-10 01:24:29,436.4,21.7,53.1,1
2026-06-10 01:25:29,434.8,20.1,44.9,0
2026-06-10 01:26:29,423.1,20.6,47.2,0
2026-06-10 01:27:29,461.2,22.0,42.2,0
2026-06-10 01:28:29,463.2,21.6,49.4,0
2026-06-10 01:29:29,381.1,21.4,54.5,0
2026-06-10 01:30:29,399.5,21.7,50.5,0
2026-06-10 01:31:29,464.4,20.5,55.4,0
2026-06-10 01:32:29,400.7,19.7,55.9,0
2026-06-10 01:33:29,438.3,20.2,51.8,0
2026-06-10 01:34:29,440.6,20.1,47.8,1
2026-06-10 01:35:29,382.7,21.9,53.9,1
2026-06-10 01:36:29,459.3,20.3,52.0,0
2026-06-10 01:37:29,425.5,20.1,56.0,0
2026-06-10 01:38:29,374.9,20.5,43.9,0
2026-06-10 01:39:29,391.1,22.4,43.0,0
2026-06-10 01:40:29,445.4,22.0,51.4,0
2026-06-10 01:41:29,402.1,19.8,48.9,0
2026-06-10 01:42:29,376.2,20.8,42.2,0
2026-06-10 01:43:29,442.4,22.3,50.6,0
2026-06-10 01:44:29,457.9,22.1,53.9,0
2026-06-10 01:45:29,468.7,20.2,55.6,0
2026-06-10 01:46:29,399.4,21.8,49.7,0
2026-06-10 01:47:29,375.0,21.5,54.3,0
2026-06-10 01:48:29,415.9,21.8,54.2,1
2026-06-10 01:49:29,431.1,21.0,52.0,1
2026-06-10 01:50:29,435.9,19.9,50.1,0
2026-06-10 01:51:29,438.2,21.0,43.6,0
2026-06-10 01:52:29,378.2,22.2,45.2,0
2026-06-10 01:53:29,390.0,20.1,42.5,0
2026-06-10 01:54:29,435.7,22.4,46.3,0
2026-06-10 01:55:29,435.6,22.0,47.6,0
2026-06-10 01:56:29,405.1,21.4,54.9,0
2026-06-10 01:57:29,446.5,21.6,55.8,0
2026-06-10 01:58:29,398.3,20.2,50.8,1
2026-06-10 01:59:29,423.5,20.1,44.8,0
2026-06-10 02:00:29,383.9,20.5,44.1,0
2026-06-10 02:01:29,443.5,21.6,55.5,0
2026-06-10 02:02:29,442.0,22.4,56.7,0
2026-06-10 02:03:29,370.3,21.6,42.4,0
2026-06-10 02:04:29,379.3,20.1,54.3,0
2026-06-10 02:05:29,385.4,20.5,56.6,0
2026-06-10 02:06:29,371.5,19.6,46.3,0
